action,states,mean_left_rank,mean_right_rank,mean_rank_delta,improved_to_top10,regressed_from_top10,all_path,improved_path,regressed_path
pick,610,13.578688524590165,12.095081967213115,-1.4836065573770492,54,26,reports\ml\patch_60\errors\pick_players_team_vs_players_team_role_rank_comparison.csv,reports\ml\patch_60\errors\pick_players_team_vs_players_team_role_improved_to_top10.csv,reports\ml\patch_60\errors\pick_players_team_vs_players_team_role_regressed_from_top10.csv
ban,854,10.880562060889929,9.283372365339579,-1.5971896955503513,57,25,reports\ml\patch_60\errors\ban_players_team_vs_players_team_role_rank_comparison.csv,reports\ml\patch_60\errors\ban_players_team_vs_players_team_role_improved_to_top10.csv,reports\ml\patch_60\errors\ban_players_team_vs_players_team_role_regressed_from_top10.csv
