state_id,match_id,order,draft_phase,action_type,acting_side,acting_team_id,opponent_team_id,real_hero_id,real_hero_name,left_real_score,left_rank,own_team_candidate_contested_rate_patch,opponent_team_candidate_contested_rate_patch,left_top_hero_id,left_top_hero_name,left_top_score,right_real_score,right_rank,candidate_own_role_fit_score,candidate_own_role_conflict_score,candidate_enemy_role_fit_score,candidate_enemy_role_conflict_score,candidate_core_prob,candidate_support_prob,candidate_flex_score,own_team_candidate_contested_rate_patch_right,opponent_team_candidate_contested_rate_patch_right,right_top_hero_id,right_top_hero_name,right_top_score,rank_delta,improved_to_top10,regressed_from_top10
8782870472_23,8782870472,23,3,pick,dire,2163.0,9247354.0,111,Oracle,1.8855532317946582,56,0.18518518518518517,0.0,40,Venomancer,4.797051091829823,2.3721750032641102,9,0.5851000000000001,0.41490000000000005,0.48140000000000005,0.6415,0.07,0.93,0.3199999999999999,0.18518518518518517,0.0,26,Lion,3.316380495624832,-47,True,False
8786127499_23,8786127499,23,3,pick,dire,2163.0,9247354.0,91,Io,2.206200641539318,55,0.2222222222222222,0.0,40,Venomancer,4.139840164529368,2.4757559711930948,10,0.32699999999999996,0.6824000000000001,0.28239999999999993,0.8001000000000001,0.07,0.93,0.3199999999999999,0.2222222222222222,0.0,108,Underlord,3.915726369935418,-45,True,False
8781780279_18,8781780279,18,3,pick,dire,9600141.0,10108713.0,100,Tusk,2.6478901484998802,39,0.16216216216216217,0.3333333333333333,29,Tidehunter,4.504925480604639,3.135667382231983,7,0.4464999999999999,0.5535,0.1739,1.1341,0.15,0.85,0.3,0.16216216216216217,0.3333333333333333,131,Ringmaster,3.9748259241316384,-32,True,False
8782650848_18,8782650848,18,3,pick,dire,9895247.0,9928636.0,90,Keeper of the Light,2.541864346858663,36,0.0,0.46774193548387094,109,Terrorblade,4.678587029978671,2.3151509946777566,9,0.46749999999999997,0.5325000000000001,0.08930000000000002,1.2482000000000002,0.15,0.8500000000000001,0.55,0.0,0.46774193548387094,100,Tusk,3.460980139607934,-27,True,False
8783006717_23,8783006717,23,3,pick,dire,2163.0,9247354.0,83,Treant Protector,2.8855095377075695,29,0.07142857142857142,0.0,108,Underlord,4.950911423964956,3.218311810031908,4,0.5616,0.4518,0.28239999999999993,0.8001,0.07,0.93,0.3199999999999999,0.07142857142857142,0.0,138,Muerta,3.9150802235974487,-25,True,False
8786038067_23,8786038067,23,3,pick,radiant,2163.0,9247354.0,105,Techies,2.5341049690439443,25,0.08571428571428572,0.0,106,Ember Spirit,3.6831783166766923,2.609398461731955,4,0.55,0.4628,0.1253,1.2796999999999998,0.15,0.85,0.3,0.08571428571428572,0.0,100,Tusk,3.323093390948573,-21,True,False
8782750796_13,8782750796,13,2,pick,radiant,9303484.0,9467224.0,114,Monkey King,2.6649979088703617,29,0.35714285714285715,0.19047619047619047,58,Enchantress,4.451009997839096,2.7711687791383746,8,0.7637,0.23629999999999998,0.9054999999999999,0.0945,0.8999999999999999,0.1,0.65,0.35714285714285715,0.19047619047619047,100,Tusk,3.6316689668813362,-21,True,False
8787299097_9,8787299097,9,2,pick,radiant,8255888.0,9467224.0,13,Puck,2.216416142182608,27,0.21212121212121213,0.78125,110,Phoenix,4.249046215175817,2.699280405892288,7,1.0,0.0,0.9445000000000001,0.0555,0.95,0.05,0.15,0.21212121212121213,0.78125,110,Phoenix,4.285902810861086,-20,True,False
8783198427_24,8783198427,24,3,pick,radiant,8255888.0,7119388.0,77,Lycan,2.629655336323134,29,0.0,0.0,54,Lifestealer,4.6092818905026816,2.2405827454717575,10,0.6476,0.3524,0.011699999999999997,1.0741999999999998,0.8999999999999999,0.1,0.18,0.0,0.0,29,Tidehunter,3.950390846343049,-19,True,False
8784176993_23,8784176993,23,3,pick,dire,9572001.0,9467224.0,90,Keeper of the Light,1.8611144601866192,21,0.42424242424242425,0.0,52,Leshrac,4.619721919067695,2.7268955712279914,4,0.4055,0.6351,0.09609999999999996,0.9174000000000001,0.15,0.8500000000000001,0.55,0.42424242424242425,0.0,138,Muerta,3.5793977407991733,-17,True,False
8783980542_16,8783980542,16,2,pick,radiant,9247354.0,7119388.0,19,Tiny,3.2201804434782124,24,0.35714285714285715,0.2222222222222222,126,Void Spirit,4.490717408229544,3.1022287499798082,7,0.6692,0.3308,0.5687,0.43270000000000003,0.8999999999999999,0.1,0.65,0.35714285714285715,0.2222222222222222,126,Void Spirit,3.3013050723989665,-17,True,False
8781879925_23,8781879925,23,3,pick,dire,10108713.0,9600141.0,73,Alchemist,2.770113728604396,18,0.0,0.21052631578947367,106,Ember Spirit,3.863195700234152,3.2157442431775456,2,0.8626,0.16169999999999998,0.03639999999999991,0.9655000000000002,0.98,0.02,0.0999999999999999,0.0,0.21052631578947367,12,Phantom Lancer,3.2162732628372233,-16,True,False
8782581053_24,8782581053,24,3,pick,dire,9572001.0,10108947.0,64,Jakiro,2.6602363675283036,26,0.0,0.0,52,Leshrac,4.3319367224876935,2.3532159743084384,10,0.3546999999999999,0.6500000000000001,0.07099999999999998,1.0102,0.07,0.93,0.3199999999999999,0.0,0.0,29,Tidehunter,3.7419086342450973,-16,True,False
8785463098_23,8785463098,23,3,pick,dire,2163.0,10108947.0,100,Tusk,2.972093340421074,21,0.36363636363636365,0.1,19,Tiny,4.50632613704945,2.7797920753273098,6,0.21749999999999992,0.8113999999999999,0.04679999999999998,0.9742,0.15,0.85,0.3,0.36363636363636365,0.1,63,Weaver,3.2112323379230663,-15,True,False
8781705399_17,8781705399,17,3,pick,radiant,5014799.0,9928636.0,28,Slardar,0.7815265274529453,21,0.3,0.576271186440678,17,Storm Spirit,2.060387095342298,1.814712374784866,7,0.6045,0.4036,0.0925,0.9568,0.8999999999999999,0.1,0.18,0.3,0.576271186440678,120,Pangolier,3.023554927430913,-14,True,False
