match_id,side,team_id,account_id,hero_id,hero_name,inferred_position,last_hits,net_worth,gold_per_min,xp_per_min,obs_placed,sen_placed,camps_stacked,rune_pickups,hero_damage,tower_damage,stuns,carry_item_score,offlane_item_score,support_item_score,lane_safe,lane_mid,lane_off,lane,lane_role,lane_bucket,lane_safe,lane_mid,lane_off,is_roaming,carry_item_score,offlane_item_score,support_item_score
8744516025,dire,9823272.0,195108598,108,Underlord,pos3,479,30761,700,1019,0.0,0.0,3.0,5.0,22156,10923,229.26741,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,False,0.0,1.0,0.0
8744516025,dire,9823272.0,93817671,64,Jakiro,pos4,75,17670,397,649,11.0,19.0,4.0,1.0,19576,4523,31.93325,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,3.0,1.0,safe,1.0,0.0,0.0,False,0.0,1.0,0.6666666666666666
8744516025,dire,9823272.0,103735745,79,Shadow Demon,pos5,33,13600,344,659,11.0,23.0,13.0,5.0,25827,560,52.565918,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,False,0.0,0.6666666666666666,1.0
8744516025,radiant,7119388.0,321580662,56,Clinkz,pos1,472,25464,546,678,1.0,0.0,4.0,2.0,22323,949,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,False,0.6666666666666666,0.0,0.0
8744516025,radiant,7119388.0,106305042,17,Storm Spirit,pos2,563,28843,702,985,2.0,0.0,2.0,6.0,33378,157,41.166504,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,mid,0.0,1.0,0.0,False,0.0,1.0,0.0
8744516025,radiant,7119388.0,302214028,96,Centaur Warrunner,pos3,367,20168,530,691,0.0,0.0,0.0,2.0,15906,180,39.700443,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.0,1.0,1.0
8744516025,radiant,7119388.0,847565596,123,Hoodwink,pos4,137,14760,392,579,8.0,14.0,7.0,1.0,21412,70,46.49921,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.6666666666666666,1.0,1.0
8744516025,radiant,7119388.0,108958769,100,Tusk,pos5,89,11494,318,603,12.0,24.0,4.0,3.0,11711,0,34.867535,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,False,0.0,1.0,0.6666666666666666
8744541889,dire,9600141.0,241519559,15,Razor,pos1,421,20102,569,673,0.0,0.0,4.0,0.0,28827,721,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,3.0,1.0,safe,1.0,0.0,0.0,False,1.0,0.6666666666666666,0.0
8744541889,dire,9600141.0,72393079,106,Ember Spirit,pos2,297,19693,526,763,1.0,1.0,1.0,14.0,36190,532,66.19841,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,2.0,2.0,mid,0.0,1.0,0.0,False,0.0,0.6666666666666666,0.0
8744541889,dire,9600141.0,116249155,155,Largo,pos3,307,18408,531,552,0.0,0.0,6.0,0.0,29101,0,8.472199,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,False,0.0,1.0,0.0
8744541889,dire,9600141.0,115464954,136,Marci,pos4,77,8192,288,326,4.0,14.0,2.0,3.0,7894,186,40.80039,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,True,0.0,0.0,0.0
8744541889,dire,9600141.0,349310876,131,Ringmaster,pos5,48,11048,308,359,13.0,19.0,1.0,6.0,15247,190,51.01529,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,3.0,1.0,safe,1.0,0.0,0.0,False,0.0,0.6666666666666666,0.6666666666666666
8744541889,radiant,9928636.0,293731272,54,Lifestealer,pos1,419,33115,792,1050,0.0,0.0,2.0,1.0,41894,16446,19.200296,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,False,1.0,0.0,0.0
8744541889,radiant,9928636.0,40805086,16,Sand King,pos2,357,24963,639,850,0.0,0.0,3.0,11.0,22979,0,30.799961,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,2.0,2.0,mid,0.0,1.0,0.0,False,0.0,0.6666666666666666,0.0
8744541889,radiant,9928636.0,148612029,99,Bristleback,pos3,408,28336,726,1023,0.0,0.0,2.0,1.0,35244,15189,10.299741,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.6666666666666666,0.6666666666666666,0.6666666666666666
8744541889,radiant,9928636.0,276449590,123,Hoodwink,pos4,62,9350,312,521,12.0,17.0,6.0,2.0,13888,254,46.600803,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.0,0.3333333333333333,0.6666666666666666
8744541889,radiant,9928636.0,1048617659,68,Ancient Apparition,pos5,44,12893,362,531,8.0,19.0,10.0,4.0,10868,60,5.9999905,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,False,0.0,0.3333333333333333,0.6666666666666666
8744628933,dire,9823272.0,171262902,73,Alchemist,pos1,501,26429,821,702,0.0,0.0,8.0,3.0,23738,366,55.633827,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,safe,1.0,0.0,0.0,False,1.0,1.0,0.0
8744628933,dire,9823272.0,312436974,39,Queen of Pain,pos2,365,25634,552,853,1.0,0.0,1.0,11.0,59337,487,15.200274,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,2.0,2.0,mid,0.0,1.0,0.0,False,0.0,0.6666666666666666,0.0
8744628933,dire,9823272.0,195108598,28,Slardar,pos3,326,19326,480,710,0.0,1.0,1.0,4.0,13999,0,34.19855,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,False,0.0,1.0,0.0
8744628933,dire,9823272.0,93817671,110,Phoenix,pos4,88,11260,312,341,9.0,15.0,17.0,2.0,20967,0,0.40014648,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,safe,1.0,0.0,0.0,False,0.0,0.0,1.0
8744628933,dire,9823272.0,103735745,136,Marci,pos5,53,7969,261,432,10.0,23.0,1.0,3.0,8688,171,48.967197,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,False,0.0,0.0,0.0
8744628933,radiant,7119388.0,321580662,138,Muerta,pos1,468,29890,719,1003,0.0,0.0,6.0,4.0,45743,13172,18.93302,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,False,1.0,0.6666666666666666,0.3333333333333333
8744628933,radiant,7119388.0,106305042,17,Storm Spirit,pos2,336,22081,575,785,2.0,1.0,1.0,11.0,32201,2559,45.73326,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,2.0,2.0,mid,0.0,1.0,0.0,False,0.0,0.6666666666666666,0.0
8744628933,radiant,7119388.0,302214028,29,Tidehunter,pos3,345,24266,627,700,0.0,0.0,0.0,5.0,31280,2804,43.60074,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.0,1.0,0.0
8744628933,radiant,7119388.0,847565596,90,Keeper of the Light,pos4,86,14441,358,511,4.0,11.0,9.0,2.0,11683,142,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.0,0.0,1.0
8744628933,radiant,7119388.0,108958769,83,Treant Protector,pos5,43,10625,311,516,13.0,23.0,0.0,0.0,5971,85,39.16622,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,False,0.0,1.0,1.0
8744743926,dire,7119388.0,321580662,49,Dragon Knight,pos1,286,13393,433,556,1.0,0.0,3.0,2.0,11294,0,28.999218,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,3.0,1.0,safe,1.0,0.0,0.0,False,0.0,0.6666666666666666,0.0
8744743926,dire,7119388.0,106305042,13,Puck,pos2,304,13507,483,654,2.0,0.0,4.0,7.0,18633,76,6.133301,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,2.0,2.0,mid,0.0,1.0,0.0,False,0.0,0.6666666666666666,0.0
8744743926,dire,7119388.0,302214028,99,Bristleback,pos3,243,14172,439,507,1.0,0.0,0.0,1.0,15883,600,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,False,0.0,0.6666666666666666,0.6666666666666666
8744743926,dire,7119388.0,847565596,90,Keeper of the Light,pos4,111,9209,306,314,4.0,12.0,10.0,0.0,13379,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,False,0.0,0.0,1.0
8744743926,dire,7119388.0,108958769,37,Warlock,pos5,47,6263,242,257,6.0,19.0,4.0,1.0,8978,0,6.4332037,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,3.0,1.0,safe,1.0,0.0,0.0,False,0.0,0.3333333333333333,1.0
8744743926,radiant,9823272.0,171262902,70,Ursa,pos1,404,26771,786,940,0.0,0.0,3.0,4.0,25266,8775,19.200577,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,False,1.0,1.0,0.0
8744743926,radiant,9823272.0,312436974,126,Void Spirit,pos2,328,22781,697,897,2.0,1.0,0.0,14.0,27474,2771,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,2.0,2.0,mid,0.0,1.0,0.0,False,0.0,0.6666666666666666,0.0
8744743926,radiant,9823272.0,195108598,28,Slardar,pos3,245,19122,585,901,0.0,0.0,0.0,1.0,17095,5151,39.399208,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.0,1.0,0.0
8744743926,radiant,9823272.0,93817671,64,Jakiro,pos4,83,14451,401,592,8.0,11.0,7.0,1.0,11297,5783,23.666832,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,True,0.0,0.6666666666666666,0.6666666666666666
8744743926,radiant,9823272.0,103735745,79,Shadow Demon,pos5,35,11599,353,519,6.0,17.0,8.0,5.0,22055,561,43.833073,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.0,0.6666666666666666,0.6666666666666666
8744876410,dire,9467224.0,124801257,48,Luna,pos1,528,24245,720,767,1.0,0.0,2.0,2.0,15258,2406,14.532938,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,3.0,1.0,safe,1.0,0.0,0.0,False,1.0,0.6666666666666666,0.3333333333333333
8744876410,dire,9467224.0,301750126,126,Void Spirit,pos2,258,16643,473,506,2.0,1.0,3.0,7.0,15966,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,mid,0.0,1.0,0.0,False,0.0,0.0,0.0
8744876410,dire,9467224.0,126842529,78,Brewmaster,pos3,274,17600,529,593,0.0,0.0,2.0,3.0,11075,444,39.100098,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,False,0.0,1.0,0.0
8744876410,dire,9467224.0,320219866,110,Phoenix,pos4,96,7134,302,407,7.0,19.0,1.0,1.0,17084,459,14.666504,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,safe,1.0,0.0,0.0,False,0.0,0.0,1.0
8744876410,dire,9467224.0,256156323,86,Rubick,pos5,35,6428,239,357,7.0,11.0,6.0,1.0,8085,120,37.06622,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,3.0,off,0.0,0.0,1.0,False,0.0,1.0,0.6666666666666666
8744876410,radiant,8291895.0,331855530,73,Alchemist,pos1,376,23261,856,802,0.0,0.0,12.0,4.0,16460,15801,30.300283,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,False,0.6666666666666666,1.0,0.0
8744876410,radiant,8291895.0,93618577,120,Pangolier,pos2,375,28788,703,914,3.0,1.0,2.0,14.0,31785,1278,22.117634,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,2.0,2.0,mid,0.0,1.0,0.0,False,0.3333333333333333,0.6666666666666666,0.0
8744876410,radiant,8291895.0,86698277,29,Tidehunter,pos3,276,22691,557,726,0.0,0.0,1.0,1.0,14013,3717,31.234364,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.0,1.0,0.0
8744876410,radiant,8291895.0,346412363,27,Shadow Shaman,pos4,60,10399,346,354,6.0,9.0,4.0,2.0,11462,1034,76.334145,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,3.0,3.0,off,0.0,0.0,1.0,False,0.0,0.6666666666666666,1.0
8744876410,radiant,8291895.0,136829091,40,Venomancer,pos5,96,12312,382,453,7.0,22.0,2.0,3.0,16626,804,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,safe,1.0,0.0,0.0,False,0.0,0.0,0.0
