action,dataset,states,top1,top3,top5,top10,mean_rank,mrr
pick,base,650,0.08,0.21076923076923076,0.3153846153846154,0.4676923076923077,21.026153846153846,0.20159052560315593
pick,interactions,650,0.09692307692307692,0.25384615384615383,0.36153846153846153,0.5015384615384615,19.567692307692308,0.22772118952125092
pick,interactions_role,650,0.11692307692307692,0.29384615384615387,0.40307692307692305,0.56,15.872307692307693,0.2585029971326429
pick,players_team,650,0.13076923076923078,0.3153846153846154,0.42615384615384616,0.6092307692307692,15.087692307692308,0.2771149622245713
pick,players_team_role,650,0.16307692307692306,0.3723076923076923,0.48615384615384616,0.6615384615384615,12.466153846153846,0.31329017585659386
ban,base,910,0.12527472527472527,0.27912087912087913,0.35934065934065934,0.5164835164835165,18.22967032967033,0.2518637344569045
ban,interactions,910,0.13626373626373625,0.2802197802197802,0.378021978021978,0.5593406593406594,17.18901098901099,0.26425176536841694
ban,interactions_role,910,0.12087912087912088,0.24285714285714285,0.3505494505494505,0.554945054945055,16.44065934065934,0.24318385130474954
ban,players_team,910,0.17802197802197803,0.34285714285714286,0.4582417582417582,0.6725274725274726,11.305494505494506,0.3220769082895518
ban,players_team_role,910,0.19230769230769232,0.4,0.5296703296703297,0.7274725274725274,9.454945054945055,0.3548215346180645
